,question_message_text,ans_message_text
0,Jammu,Kaha rhte hai not rhta hoo
1,😂😂,report kar diye h don't worry
2,Years...👀y,It will take years 😂
3,Mat kr sab aisi hei hai,"𝘉𝘰𝘭𝘢 𝘯𝘢, 𝘮𝘶𝘫𝘩𝘦 𝘬𝘪𝘴𝘪 𝘴𝘦 𝘣𝘩𝘪 𝘱𝘳𝘴𝘯𝘭 𝘱𝘦𝘳 𝘣𝘢𝘢𝘵 𝘯𝘩𝘪 𝘬𝘳𝘯𝘪 😐😐"
4,Okay bhai bol dungi😂,बहन का ....भाई है
5,Enjoy weirdo 😁,No.... But this is awesome
6,Ohh yeah😂🤣,Ghr pe hogi
7,I dont know  what you say,Khana kha liya?
8,Almost sab,Sb ni hote
9,Oh I know about india That's a beautiful place,Okk good I am from India😊😊
10,"REASON : , MY HEART' , STOLEN YOU 🥲","The issue with some people's brain, trying to figure out my life and trying to figure out why you are stubborn?🙂😂😂😂"
11,Hello,People know about it!
12,Ys,Teacher dhund rahe ho kya apne liye?
13,"Oh Sud, new name?",😊i don't know whether u remember or not...My old name was Sud
14,Who ignored you,U ignore me :(
15,Im not india,You are no
16,☹️,Or else i will bite ur nose
17,fir kyuu puchre ho🤨,Ha pta hai 😐
18,Acha acha! Sahi hain,Ha vahi to na thodi der pahle discussion chal raha tha anu aur vedika ke bich me to anu bhai says jisko ban kare aur mute kare usko batao mat
19,Sahi hai bro yaha ka system you know better,bro aise bolte  sab yaha so kisi se expect mt karo kuch
20,Study + artichleship,Study u
21,Bs ab chai hi bna rha hu,Yet to do...N u?
22,Harpic liya hoga usne pet kharab h uska tbhi na der se reply krti hai 🤣🤣,Saste nashe
23,Toy wla ?,Aise hi sticker irritation types h
24,Ohok,I am uzbek
25,I'm 22 bro,Koj yog neeg txawj ntse.
26,Jaisi ichha,Ek warn to banta h😂😂😂
27,Old town road ❤️,Music player m gana konsa bj rha h ? 🥺
28,Lol,the pain 😕
29,Don't mention😭😭😭,Thank u😭😭😭😭😭
30,Bolo Anita Ka uncle bol rha hu,Hlo Nita 😊
31,Arey...i thought.u felt bad thts y,Mujhe samjh nhi aaya😅
32,Ohu,"Ni yaar  , gym se aaya hu abhii,"
33,kida koi  may bi,Uske piche kuyu padha hai tu? She is getting irritated
34,I saw what you sent but let's not do d..m..s🤷‍♀,🥲🥲not wht you think
35,Slogan,😊😊😊😊😊 hmmmm    be positive  always got it or not
36,Punjabi h assii vi,Fr pehla oe fuddu khich ta
37,Wo to kat degi tu... 😒,Tumhara haat nhi h kya 😂😂😂
38,knp lo g ska?,Why is blackpink here
39,Gf banne ko bol raha bhai isse help kar de,Ha mtlb mood fresh Krna hai to Krlo thodi bahas bazi.
40,Student,GoodStudent or working?
41,🙈😂,Ohh basket ball player👍
42,Kyun yaar,Ntg nhi mil skte
43,go away,Q Iam надсилає вам повідомлення в особистій відповіді
44,Ahaahan,Ans solalana dare anu keta
45,No from pluto,You from mars 😅😂
46,I'm talking about new admin 😂😂😂,I never beg 😎
47,"You unbanned,no?🥺",😢😢  I have not did anything I only have rights to pin messages 😢😢
48,Tu to kr🤔,Koi baat hi ni kr rha h
49,Nahiii 😂😂camerman,Kya aap priyanka chopra ho..
50,You are asking about yourself?,Forgot me😭
51,AREH VRO 😂,Uff kaha lag gayi..🤣
52,Pta nhi....bs hogya😂,Anu Ka Mohit 😳😳😳😳kaise hua
53,Ya tumahare jaise,Pata hain woh ladka bakwaa h
54,Yeah,You from Iran 🇮🇷
55,Jan sad' mulu lah,Meratapi nasib cuy.... So sad Everyone :v
56,Accha,Itna jaldi nahi
57,Ha yes,college name A
58,Badhiya hu aap kaise ho,Kaisi ho Pandey ji
59,Fambest yok,hi how are u?
60,Yours??,😂😂😂btw whts your name 👀
61,hey rosy,Good evening guys
62,What?,Hello mister chochqa🤓
63,Nothing leave it😅😂,Wht ?🤣🤣 Why you asking this ?
64,Okk,bot is at rest bro
65,Bye,Tc bye bye
66,No,Pls one time I like your behave
67,No,Had bf?
68,2in,Iy njir plis
69,"I am straight, FYI",Hi Adu🥺
70,That's a grt news for me hope I can fill it up with u then 😜😜,Single 💔
71,Kisse se poochu,Mere se mat puch re baba
72,My studies,Who did this to u😁
73,Yeah. See you.,Okay then remain sad
74,I have completed my grad 4years back,And you👀
75,Okayy,Kuch na ....imma frm india
76,Haaam😁,Oh nice ....😝👍
77,Seriously... will u take an action?,Tag me I'd
78,Now who tag Will u stop🤷‍♀🤷‍♀🤷‍♀🤷‍♀,U are tagging me.
79,Wo bhi shii h,Pagalpanti bhi jaruri hota h😂
80,Commerce🥲,Oohhhh 😂😂Kya liya 11 m?
81,Hi iron man software,Hi @friendly_21
82,photo uski nahi,Dekha me foto me mast ha 😂😍😍🙈🙈🙈🙈
83,O önemli değil yaw evlenmeyecem sonuçta anı yaşayamaz sadece 😂,Oo buyukmussun
84,Haa bahot,Kharcha padega
85,Haha I don't know Hindi well😂😂,Heer Ranjha wali heer Bs yhi h
86,whatsupp bro,Wat a battsam
87,"No, you have stolen my heart",I don't have any of your heart bro
88,Haha...u have nice sense of humour,Now I have already stopped..Meri aankho pe ab aapke liye respect badh gai hai✋😂😜
89,Sanskari is back 😂😂I'm from AP😉,Mh and u non sanskari 😂
90,Me India,From Uzbekiston and you
91,Not Shelbyप्रमोद दूबे प्रयागराज 😂,Shelby 🔥
92,Mai whi,Aap kon sarkar
93,Chappal chahiye apko? It's against the rules to promote,Paid promotion Chahiye kisi ko?
94,Hii friends,"Okaie, will see incase if i do require in future!"
95,Me rich 😎😂,"No, I'm not😂"
96,😒😒,Come massage box
97,Nhi ab shi hain mst gate sab,Gyi thi main bhi bt ab waha jada achha nhi lgta
98,Noi 🥺,You tolol
99,Bsnl hai kya🤔🤔🤔🥺🤣,chats aren't loading 😅😂
100,Don't remember exactly...,Ahaan ...you quit chatting that day ! What went wrong ?
101,Shut up,Can i meet with yu
102,Yaa yaa..,Arey arya wala dekh loWo to bada h
103,ye Bengali mai bola kya..😅 shi,Khub bhalo
104,Ok,Lets make a ☃️
105,"All great thanks,what about you?",😂😂 heyya..How are you?
106,Haa ha nice,Ooo really me also
107,Ok,I m from Mechanical side
108,🤔🤔,Kya hai yaar
109,Shhhhhh🤫🤭,I know where you are 😂
110,Like me😂😂😂😂,No im not😂
111,Why r u crying 😂😂,Likha hai🥲
112,Attitude,Kesse ho mdm.
113,Hooh,Rp kan sama att
114,Gn tc🥲,Soo jao phir aap gn take care
115,I am good bad,Good and you
116,What,No gibe $$$
117,Glad to hear it. May I ask you some questions?,I'm goodYou say
118,India😁,Kahan se ho bhai..???
119,Hlo,Hii kanika
120,🤭🤭😝😝,hahaha loljyada de diye🤣
121,Myself kartik,what is your name
122,अब आप सो जाओ,अब हम क्या करें 🙃🙃
123,wow,Im from Russia
124,Maybe😂,Ignoring me 😂
125,Me too,"hi , i'm from Indonesia"
126,Ava mu☺️,"I'm fine, you alone?"
127,Noi pta,Hi ..ur name
